rankx   flowid   timex
99852339   0   3880900
9852339   2   3892900
49852339   1   3904900
99850959   0   3916900
9850959   2   3928900
49850959   1   3940900
99849579   0   3952900
9849579   2   3964900
49849579   1   3976900
99848199   0   3988900
9848199   2   4000900
49848199   1   4012900
99846819   0   4024900
9846819   2   4036900
49846819   1   4048900
99845439   0   4060900
9845439   2   4072900
49845439   1   4084900
99844059   0   4096900
9844059   2   4108900
49844059   1   4120900
99842679   0   4132900
9842679   2   4144900
49842679   1   4156900
99841299   0   4168900
9841299   2   4180900
49841299   1   4192900
99839919   0   4204900
9839919   2   4216900
49839919   1   4228900
99838539   0   4240900
9838539   2   4252900
49838539   1   4264900
99837159   0   4276900
9837159   2   4288900
49837159   1   4300900
99835779   0   4312900
9835779   2   4324900
49835779   1   4336900
99834399   0   4348900
9834399   2   4360900
49834399   1   4372900
99833019   0   4384900
9833019   2   4396900
49833019   1   4408900
99831639   0   4420900
9831639   2   4432900
49831639   1   4444900
99830259   0   4456900
99828879   0   4468900
99827499   0   4480900
9830259   2   4492900
49830259   1   4504900
9828879   2   4516900
9827499   2   4528900
49828879   1   4540900
99826119   0   4552900
99824739   0   4564900
49827499   1   4576900
9826119   2   4588900
9824739   2   4600900
49826119   1   4612900
99823359   0   4624900
49824739   1   4636900
9823359   2   4648900
49823359   1   4660900
99821979   0   4672900
9821979   2   4684900
49821979   1   4696900
99820599   0   4708900
9820599   2   4720900
49820599   1   4732900
99819219   0   4744900
9819219   2   4756900
49819219   1   4768900
99817839   0   4780900
9817839   2   4792900
49817839   1   4804900
99816459   0   4816900
9816459   2   4828900
49816459   1   4840900
99815079   0   4852900
9815079   2   4864900
49815079   1   4876900
99813699   0   4888900
9813699   2   4900900
49813699   1   4912900
99812319   0   4924900
9812319   2   4936900
49812319   1   4948900
99810939   0   4960900
9810939   2   4972900
49810939   1   4984900
99809559   0   4996900
9809559   2   5008900
49809559   1   5020900
99808179   0   5032900
9808179   2   5044900
49808179   1   5056900
99806799   0   5068900
9806799   2   5080900
49806799   1   5092900
99805419   0   5104900
9805419   2   5116900
49805419   1   5128900
99804039   0   5140900
9804039   2   5152900
49804039   1   5164900
99802659   0   5176900
9802659   2   5188900
49802659   1   5200900
99801279   0   5212900
9801279   2   5224900
49801279   1   5236900
99799899   0   5248900
9799899   2   5260900
49799899   1   5272900
99798519   0   5284900
9798519   2   5296900
49798519   1   5308900
99797139   0   5320900
9797139   2   5332900
49797139   1   5344900
99795759   0   5356900
9795759   2   5368900
49795759   1   5380900
99794379   0   5392900
9794379   2   5404900
49794379   1   5416900
99792999   0   5428900
9792999   2   5440900
49792999   1   5452900
99791619   0   5464900
9791619   2   5476900
49791619   1   5488900
99790239   0   5500900
9790239   2   5512900
49790239   1   5524900
99788859   0   5536900
9788859   2   5548900
49788859   1   5560900
99787479   0   5572900
9787479   2   5584900
49787479   1   5596900
99786099   0   5608900
9786099   2   5620900
49786099   1   5632900
99784719   0   5644900
99783339   0   5656900
99781959   0   5668900
9784719   2   5680900
49784719   1   5692900
9783339   2   5704900
9781959   2   5716900
49783339   1   5728900
99780579   0   5740900
99779199   0   5752900
99777819   0   5764900
49781959   1   5776900
9780579   2   5788900
9779199   2   5800900
9777819   2   5812900
49780579   1   5824900
99776439   0   5836900
49779199   1   5848900
49777819   1   5860900
9776439   2   5872900
49776439   1   5884900
99775059   0   5896900
9775059   2   5908900
49775059   1   5920900
99773679   0   5932900
9773679   2   5944900
49773679   1   5956900
99772299   0   5968900
9772299   2   5980900
49772299   1   5992900
99770919   0   6004900
9770919   2   6016900
49770919   1   6028900
99769539   0   6040900
9769539   2   6052900
49769539   1   6064900
99768159   0   6076900
9768159   2   6088900
49768159   1   6100900
99766779   0   6112900
9766779   2   6124900
49766779   1   6136900
99765399   0   6148900
9765399   2   6160900
49765399   1   6172900
99764019   0   6184900
9764019   2   6196900
49764019   1   6208900
99762639   0   6220900
9762639   2   6232900
49762639   1   6244900
99761259   0   6256900
9761259   2   6268900
49761259   1   6280900
