rankx   flowid   timex
9569439   2   3880900
9632919   2   3892900
49994479   1   3904900
49995859   1   3916900
9568059   2   3928900
9566679   2   3940900
9565299   2   3952900
9563919   2   3964900
9562539   2   3976900
9561159   2   3988900
9559779   2   4000900
9558399   2   4012900
9557019   2   4024900
9555639   2   4036900
9554259   2   4048900
9552879   2   4060900
9551499   2   4072900
9550119   2   4084900
9548739   2   4096900
9547359   2   4108900
9545979   2   4120900
9544599   2   4132900
9543219   2   4144900
9541839   2   4156900
9540459   2   4168900
9539079   2   4180900
9537699   2   4192900
9536319   2   4204900
9534939   2   4216900
9533559   2   4228900
9532179   2   4240900
9530799   2   4252900
9529419   2   4264900
9528039   2   4276900
9526659   2   4288900
9525279   2   4300900
9523899   2   4312900
9522519   2   4324900
9521139   2   4336900
9519759   2   4348900
9518379   2   4360900
9516999   2   4372900
9515619   2   4384900
9514239   2   4396900
9512859   2   4408900
9511479   2   4420900
9510099   2   4432900
9508719   2   4444900
9507339   2   4456900
9505959   2   4468900
9504579   2   4480900
9503199   2   4492900
9501819   2   4504900
9500439   2   4516900
9499059   2   4528900
9497679   2   4540900
9496299   2   4552900
9494919   2   4564900
9493539   2   4576900
9492159   2   4588900
9490779   2   4600900
9489399   2   4612900
9488019   2   4624900
9486639   2   4636900
9485259   2   4648900
9483879   2   4660900
9482499   2   4672900
9481119   2   4684900
9479739   2   4696900
9478359   2   4708900
9476979   2   4720900
9475599   2   4732900
9472839   2   4744900
9471459   2   4756900
9470079   2   4768900
9468699   2   4780900
9467319   2   4792900
9465939   2   4804900
9464559   2   4816900
9463179   2   4828900
9461799   2   4840900
9460419   2   4852900
9459039   2   4864900
9457659   2   4876900
9456279   2   4888900
9454899   2   4900900
9453519   2   4912900
9452139   2   4924900
9450759   2   4936900
9449379   2   4948900
9447999   2   4960900
9446619   2   4972900
9445239   2   4984900
9443859   2   4996900
9442479   2   5008900
9441099   2   5020900
9439719   2   5032900
9438339   2   5044900
9436959   2   5056900
9435579   2   5068900
9434199   2   5080900
9432819   2   5092900
9431439   2   5104900
9430059   2   5116900
9428679   2   5128900
9427299   2   5140900
9425919   2   5152900
9424539   2   5164900
9423159   2   5176900
9421779   2   5188900
9420399   2   5200900
9419019   2   5212900
9417639   2   5224900
9416259   2   5236900
9414879   2   5248900
9413499   2   5260900
9412119   2   5272900
9410739   2   5284900
9474219   2   5296900
49997239   1   5308900
49999999   1   5320900
9409359   2   5332900
9407979   2   5344900
9406599   2   5356900
9405219   2   5368900
9403839   2   5380900
9402459   2   5392900
9401079   2   5404900
9399699   2   5416900
9398319   2   5428900
9396939   2   5440900
9395559   2   5452900
9394179   2   5464900
9392799   2   5476900
9391419   2   5488900
9390039   2   5500900
9388659   2   5512900
9387279   2   5524900
9385899   2   5536900
9384519   2   5548900
9383139   2   5560900
9381759   2   5572900
9380379   2   5584900
9378999   2   5596900
9377619   2   5608900
9376239   2   5620900
9374859   2   5632900
9373479   2   5644900
9372099   2   5656900
9370719   2   5668900
9369339   2   5680900
9367959   2   5692900
9366579   2   5704900
9365199   2   5716900
9363819   2   5728900
9362439   2   5740900
9361059   2   5752900
9359679   2   5764900
9358299   2   5776900
9356919   2   5788900
9355539   2   5800900
9354159   2   5812900
9352779   2   5824900
9351399   2   5836900
9350019   2   5848900
9348639   2   5860900
9347259   2   5872900
9345879   2   5884900
9344499   2   5896900
9343119   2   5908900
9341739   2   5920900
9340359   2   5932900
9338979   2   5944900
9337599   2   5956900
9336219   2   5968900
9334839   2   5980900
9333459   2   5992900
9332079   2   6004900
9330699   2   6016900
9329319   2   6028900
9327939   2   6040900
9326559   2   6052900
9325179   2   6064900
9323799   2   6076900
9322419   2   6088900
9321039   2   6100900
9319659   2   6112900
9318279   2   6124900
9316899   2   6136900
9314139   2   6148900
9312759   2   6160900
9311379   2   6172900
9309999   2   6184900
9308619   2   6196900
9307239   2   6208900
9305859   2   6220900
9304479   2   6232900
9303099   2   6244900
9301719   2   6256900
9300339   2   6268900
9298959   2   6280900
9297579   2   6292900
9296199   2   6304900
9294819   2   6316900
9293439   2   6328900
9292059   2   6340900
9290679   2   6352900
9289299   2   6364900
9287919   2   6376900
9286539   2   6388900
9285159   2   6400900
9283779   2   6412900
